company,price,change,currency
Wipro Limited (WIPRO.BO),246.90 ,+(0.28%) ,INR
S&P BSE SENSEX (^BSESN),"80,998.25 ",+(0.32%) ,
E-Mini S&P 500 Jun 25 (ES=F),"5,991.75 ",+(0.17%) ,
Microsoft Corporation (MSFT),462.97 ,+(0.22%) ,USD
International Business Machines Corporation (IBM),265.20 ,+(0.49%) ,USD
GE Aerospace (GE),248.87 ,+(0.56%) ,USD
Union Pacific Corporation (UNP),221.78 ,+(1.32%) ,USD
Costco Wholesale Corporation (COST),"1,055.59 ",(-0.12%) ,USD
McDonald's Corporation (MCD),312.39 ,(-0.09%) ,USD
Visa Inc. (V),365.86 ,+(0.15%) ,USD
Walmart Inc. (WMT),99.98 ,+(0.21%) ,USD
The Walt Disney Company (DIS),113.60 ,+(0.58%) ,USD
3M Company (MMM),148.13 ,+(1.18%) ,USD
Intel Corporation (INTC),20.29 ,+(2.79%) ,USD
American Express Company (AXP),297.39 ,+(0.70%) ,USD
Apple Inc. (AAPL),203.27 ,+(0.78%) ,USD
The Boeing Company (BA),213.43 ,+(0.93%) ,USD
"Cisco Systems, Inc. (CSCO)",64.36 ,+(0.80%) ,USD
"The Goldman Sachs Group, Inc. (GS)",603.83 ,+(0.85%) ,USD
JPMorgan Chase & Co. (JPM),266.27 ,+(0.61%) ,USD
"Salesforce, Inc. (CRM)",264.47 ,+(1.09%) ,USD
Verizon Communications Inc. (VZ),43.83 ,(-0.61%) ,USD
